运输方式,路线,价格,环比,日期,价格数值
整车运输-9.6,上海-合肥,2953元/整车,-0.81%,2022/8/3,2953.0
整车运输-9.6,上海-合肥,2953元/整车,-0.81%,2022/7/27,2953.0
整车运输-9.6,上海-合肥,2953元/整车,-0.81%,2022/7/20,2953.0
整车运输-9.6,上海-合肥,2953元/整车,-0.81%,2022/7/13,2953.0
整车运输-9.6,上海-合肥,2953元/整车,-0.81%,2022/7/6,2953.0
整车运输-9.6,上海-合肥,2953元/整车,-0.81%,2022/6/29,2953.0
整车运输-9.6,上海-合肥,2953元/整车,-0.81%,2022/6/22,2953.0
整车运输-9.6,上海-合肥,2953元/整车,-0.81%,2022/6/15,2953.0
整车运输-9.6,上海-合肥,2953元/整车,-0.81%,2022/6/8,2953.0
整车运输-9.6,上海-合肥,2953元/整车,-0.81%,2022/6/1,2953.0
整车运输-9.6,上海-合肥,2953元/整车,-0.81%,2022/5/25,2953.0
整车运输-9.6,上海-合肥,2953元/整车,-0.81%,2022/5/18,2953.0
整车运输-9.6,上海-合肥,2953元/整车,-0.81%,2022/5/11,2953.0
整车运输-9.6,上海-合肥,2953元/整车,-0.81%,2022/5/4,2953.0
